date,quarter,UNEMP,GDP,RGDP
2019-06-01,2019Q2,-0.18460886445043562,1.8135545267345077,0.07318119621529506
2019-09-01,2019Q3,0.04299574829763997,1.9459878025526378,0.5633306260858865
2019-12-01,2019Q4,0.3365160622351325,1.5895983696642464,0.34291369060490196
2020-03-01,2020Q1,1.253184111348754e-05,2.2428223398302647,0.7005076917849037
2020-06-01,2020Q2,4.667747245633464,-10.835876245642398,-5.981497814382487
2020-09-01,2020Q3,1.702625608869667,12.137085492384223,10.471218251174081
2020-12-01,2020Q4,1.7146752787903425,4.930745007586657,2.5895214727346905
2021-03-01,2021Q1,-0.07643069474781389,1.812317535000528,0.38769352451315575
2021-06-01,2021Q2,0.38995419631202133,3.723943713424241,1.1603384130420182
2021-09-01,2021Q3,-0.12526238334052733,1.0324279516710717,-1.2090495817586322
2021-12-01,2021Q4,0.49099144293570957,3.631559042582243,1.8962481433423308
2022-03-01,2022Q1,0.38484154696027517,3.1750194039517265,1.5976567961848427
2022-06-01,2022Q2,-0.14277734980823564,2.382431687474315,0.2806884238466026
2022-09-01,2022Q3,-0.3159959827587824,2.4959510908047493,0.032543348250012705
2022-12-01,2022Q4,0.19715954528542562,1.494420212012629,0.4638337977710553
2023-03-01,2023Q1,0.3562906603164805,1.5937296712043,1.1365995178586181
2023-04-03,2023Q2,0.14653582398819248,2.4302921080670172,0.7608206053980423
