quarter,UNEMP,GDP,RGDP
2000Q1,2.720167715679462,2.184532604105016,1.162061821589077
2000Q2,0.0,4.176030407158578,0.9157846452289959
2000Q3,-2.720167715679462,4.59358002426643,0.9855220293259208
2000Q4,0.0,2.496183390588158,0.8473544588059667
2001Q1,1.048819618305409,2.03713256179617,0.6126314225864462
2001Q2,0.0,1.684815814601279,0.4984600337538723
2001Q3,1.275934375376004,1.832726014449918,0.2653954575634998
2001Q4,0.0,3.228197393982327,0.7663787065202996
2002Q1,1.181581293138073,6.49257786164344,1.080154299576861
2002Q2,0.0,3.837123398602444,1.260876620499403
2002Q3,-0.865125332841771,3.168533985946169,1.125472228102808
2002Q4,0.0,2.788604749060141,0.8285466817173983
2003Q1,2.110277606773593,1.891529397313661,0.6327561786940805
2003Q2,0.0,1.724771872719657,0.4871808223001608
2003Q3,-0.6984894521950942,1.597847839478391,0.5412233329152514
2003Q4,0.0,2.132441731486097,0.5752734061884439
2004Q1,-1.569890954310374,3.578787460598051,1.502438281754166
2004Q2,0.0,2.634035432781047,1.387775617747366
2004Q3,-2.726712634033959,2.379020588525236,1.621893862175284
2004Q4,0.0,2.899340654112393,1.062268006022578
2005Q1,0.970881412696091,2.182821891678941,1.011467124580577
2005Q2,0.0,3.145259216274098,1.778641938247119
2005Q3,-0.5652013431346603,2.610159463361697,1.354404928562872
2005Q4,0.0,2.845472469050947,0.6671258210988071
2006Q1,-0.3244122877623887,1.506487603394362,1.741908727483633
2006Q2,0.0,4.037146622785258,1.410252650734037
2006Q3,-0.8156652073748845,3.91147852318295,1.371701980339139
2006Q4,0.0,2.392698147188185,1.373344232895988
2007Q1,1.221016390693134,5.119880254684176,1.610631418931234
2007Q2,0.0,1.612188528710021,0.8162178546936047
2007Q3,-2.125999942684931,2.348619053506582,1.165121207523043
2007Q4,0.0,3.671644488701986,1.407133008380924
2008Q1,1.801850550267829,3.578058789152465,0.4191257100530947
2008Q2,-0.4882027597308394,1.848976346688687,1.213494424565852
2008Q3,0.1629992210931093,2.837297752487075,0.2386483561131172
2008Q4,-1.064275293243885,0.02217645138330226,-0.570874917055562
2009Q1,1.227009259181425,2.522182026141536,-1.567768109662666
2009Q2,0.1624695727001892,1.215304405877987,-0.3438016928819252
2009Q3,1.049666480534299,2.406797336613181,0.231638708238961
2009Q4,-0.3218023694200767,0.9078016204312007,0.6647572636104542
2010Q1,0.8025725262303745,3.036785836489344,1.159971154086179
2010Q2,0.0,3.663575914004014,0.8359085078939188
2010Q3,0.2395210725954975,0.8332523702363233,0.8863069791161706
2010Q4,-1.203383956372367,2.163861208622393,0.9264762664136015
2011Q1,0.7237667300230619,2.175833442867543,0.979984123817303
2011Q2,0.6389798098771031,2.319180903939696,0.5581111722165133
2011Q3,-0.4788516731797152,2.31651222158348,0.412917437816759
2011Q4,-0.964637705180543,1.920442068302009,0.6817569818881566
2012Q1,0.964637705180543,1.275623705391354,0.5652427440354586
2012Q2,-0.1601281366973879,2.036575553858711,0.8312688859525679
2012Q3,0.3200002730670874,1.197374956955855,0.405734206692614
2012Q4,-0.5606742761235779,1.526906113986797,0.4758090313493994
2013Q1,0.4008021397538784,2.951449521443237,0.7730291323157417
2013Q2,0.2397124599721572,2.097317971116127,0.724745944446795
2013Q3,-0.6405145997260355,1.709785350257562,0.473337585008494
2013Q4,-0.3218023694200767,1.97933683488327,0.5369080947359635
2014Q1,0.8824766455436546,1.738019146666147,-0.1380301688163854
2014Q2,0.2393299905840323,0.9752916685320088,0.3938898343631081
2014Q3,-0.07971303730181489,1.907893984986913,0.4794281605229571
2014Q4,-0.8810629682154989,1.41255734115407,0.7459862291466379
2015Q1,1.675348319609174,2.250132286287908,0.7197557138597404
2015Q2,-1.113774441045592,1.428782455866667,-0.8478467125751195
2015Q3,0.3992021269537318,1.304569856642274,0.4494126359672919
2015Q4,-0.8000042667076102,1.913838943051132,0.4325294268985544
2016Q1,1.751637142233093,2.738778210901728,0.2385799286048496
2016Q2,-0.07895776170174784,2.066325048729368,0.09616759624327642
2016Q3,0.3941668485332492,0.9411358609424951,-0.01218384402613992
2016Q4,-0.4731870027833303,0.7374655598823665,0.08487753111717211
2017Q1,0.944145487091852,2.36685299599435,0.4710146847712622
2017Q2,0.0,1.639247574343017,0.5438215148276413
2017Q3,0.0,1.975183993031123,0.1837270993407856
2017Q4,-0.7861675711400231,1.390752970784433,0.3925894569404136
2018Q1,0.0,0.4161402998015546,0.5276300987557079
2018Q2,0.3938563578928509,1.463017983025111,-0.2489653783725316
2018Q3,0.2355713692458963,2.427531997338519,1.22232015362124
2018Q4,-0.3142186403072458,1.164833542204633,0.2771106189259172
2019Q1,0.3926192715281225,-0.4413466942605737,-0.8772712770200997
2019Q2,1.091203345098258,2.387951548728324,0.4511914082368094
2019Q3,0.0774893490924633,1.395273153995731,0.1050532864742308
2019Q4,0.0,1.090381346488357,-0.03621853636786909
2020Q1,0.7716087665862794,1.424577608063828,0.2356517308469392
2020Q2,-5.368297534816087,-18.18175272755116,-18.50044000055277
2020Q3,5.904902885279967,14.78322534803533,12.86573739920209
2020Q4,1.291320640317853,5.574989136526256,2.705082454903504
2021Q1,0.07544323254853325,1.462621601715,0.6391893490576877
2021Q2,1.348335033728688,3.891582877945211,1.28951122933131
2021Q3,0.3713335124661086,-1.468310906205488,-1.893057999551274
2021Q4,0.2960771963032194,2.047437396649912,1.363648831181536
2022Q1,-0.593033613484856,1.908232513279472,1.520458908525143
2022Q2,-0.4470946344766986,2.747030772461358,-0.8402825856996969
